line,comparison,region,position_class,side_of_strong_line,corr,nmse,phase_rmse_rad,amplitude_nrmse
4,wrapper_individual_vs_direct_independent,heldout_72,edge,before,1.0,0.0,1.616447690477098e-17,0.0
4,wrapper_individual_vs_direct_independent,extrapolated_outside_200,edge,before,1.0,0.0,1.7218215287795727e-17,0.0
4,wrapper_individual_vs_direct_independent,full_K,edge,before,1.0,0.0,1.6974488009900612e-17,0.0
4,whole_forward_vs_reverse,input_128,edge,before,0.9999939755416568,1.2048880391895671e-05,0.004876136296268936,0.002357129315380568
4,whole_forward_vs_reverse,embedded_200,edge,before,0.9972847420718642,0.005435728330199939,0.11222122676783676,0.054314645042440504
4,whole_forward_vs_reverse,heldout_72,edge,before,0.9893307443001392,0.021422512003519304,0.1869223445858019,0.10783938126389221
4,whole_forward_vs_reverse,extrapolated_outside_200,edge,before,0.988105797060652,0.023767348029642338,0.21157464559641637,0.10826118405448872
4,whole_forward_vs_reverse,full_K,edge,before,0.9951433370355398,0.009707695600948998,0.19162795706461114,0.07066766927512348
4,whole_forward_vs_independent,input_128,edge,before,0.9999620737705349,7.585102053172815e-05,0.011937058423547363,0.0061663057656184935
4,whole_forward_vs_independent,embedded_200,edge,before,0.9952904262043569,0.00979948801226384,0.14138854483311272,0.07455759906335618
4,whole_forward_vs_independent,heldout_72,edge,before,0.9835200925264135,0.03846078382505544,0.23510945947927064,0.14775630928075104
4,whole_forward_vs_independent,extrapolated_outside_200,edge,before,0.9635834169120852,0.09255731251187081,0.6487806994576845,0.20056083748586317
4,whole_forward_vs_independent,full_K,edge,before,0.9866583036149634,0.02908522072204013,0.5662905412808058,0.11677882398652953
4,whole_reverse_vs_independent,input_128,edge,before,0.9999552923526915,8.941329584331181e-05,0.013675920893067848,0.006490602134775799
4,whole_reverse_vs_independent,embedded_200,edge,before,0.9955251189877642,0.009368727920573564,0.15522149785381015,0.06814091803964184
4,whole_reverse_vs_independent,heldout_72,edge,before,0.984535469404255,0.037040507015271805,0.2580590677222593,0.13551370383479328
4,whole_reverse_vs_independent,extrapolated_outside_200,edge,before,0.9536258589698637,0.11498754268935277,0.6761820221559625,0.21962300872930438
4,whole_reverse_vs_independent,full_K,edge,before,0.984321401563112,0.034001855888333495,0.5907114555044536,0.12169547601287302
4,author_L4_forward_vs_reverse,input_128,edge,before,0.9999939762818635,1.2047399987650393e-05,0.0048760586317989655,0.002356936328803048
4,author_L4_forward_vs_reverse,embedded_200,edge,before,0.9972848308274149,0.0054355510026185255,0.11221785817327003,0.05431479306773957
